 ,DCD,TRR,XTC,H5MD w/ MDA,H5MD w/ pyh5md
Total loop means,1.1625736236572266,14.711635303497314,5.035141944885254,39.432471895217894,9.108096599578857
Total loop stds,0.017853041427810086,0.30540793170119085,0.09924396645184769,0.5469347070393954,0.34266342472186617
Loop/frame means,0.0003875245412190755,0.0049038784344991055,0.0016783806482950844,0.013144157298405965,0.003036032199859619
Loop/frame stds,5.951013809270014e-06,0.00010180264390039688,3.308132215061591e-05,0.00018231156901313159,0.0001142211415739555
Total IO means,0.8418671607971191,14.352959871292114,4.687744569778443,38.91279754638672,8.725993061065674
Total IO stds,0.014088712023201503,0.29810626436443005,0.09388390226543351,0.5392864436692878,0.33080369698158624
IO/frame means,0.00028062238693237303,0.004784319957097371,0.0015625815232594808,0.012970932515462242,0.002908664353688558
IO/frame stds,4.696237341067166e-06,9.936875478814337e-05,3.1294634088477826e-05,0.00017976214788976248,0.00011026789899386212
Total RMSD means,0.3169552326202393,0.3541905879974365,0.34325294494628905,0.511803674697876,0.3770030975341797
Total RMSD stds,0.003879598124439805,0.0072371297695667984,0.005617459690537325,0.007562855741117767,0.011938147378474238
RMSD/frame means,0.00010565174420674641,0.00011806352933247885,0.0001144176483154297,0.000170601224899292,0.0001256676991780599
RMSD/frame stds,1.293199374813267e-06,2.4123765898555982e-06,1.87248656351244e-06,2.520951913705919e-06,3.979382459491415e-06
