 ,DCD,TRR,XTC,H5MD w/ MDA,H5MD w/ pyh5md
Total loop means,1.1786059856414794,15.303855752944946,5.194687366485596,39.18353261947632,8.757005071640014
Total loop stds,0.030503907061942132,1.3880043060792866,0.2336229269399165,0.12683101729454355,0.06797171081775052
Loop/frame means,0.00039286866188049317,0.005101285250981649,0.0017315624554951985,0.013061177539825441,0.0029190016905466716
Loop/frame stds,1.0167969020647384e-05,0.00046266810202642876,7.787430897997214e-05,4.227700576484815e-05,2.2657236939250233e-05
Total IO means,0.8523557662963868,14.929226446151734,4.8371423244476315,38.65920295715332,8.382168817520142
Total IO stds,0.0221415484681339,1.3653207928043507,0.2199260655471135,0.1256056799915174,0.06641686104899677
IO/frame means,0.00028411858876546225,0.0049764088153839104,0.001612380774815877,0.012886400985717774,0.002794056272506714
IO/frame stds,7.380516156044629e-06,0.0004551069309347837,7.330868851570445e-05,4.186855999717267e-05,2.213895368299889e-05
Total RMSD means,0.3224316596984863,0.3699489116668701,0.35326347351074217,0.5163022041320801,0.3698747634887695
Total RMSD stds,0.00835941893695274,0.022529055102091865,0.013719812556172021,0.002758118230883001,0.003614949007946512
RMSD/frame means,0.00010747721989949545,0.00012331630388895672,0.00011775449117024739,0.00017210073471069336,0.00012329158782958984
RMSD/frame stds,2.7864729789842467e-06,7.5096850340306245e-06,4.573270852057335e-06,9.193727436276715e-07,1.2049830026488358e-06
