 ,DCD,TRR,XTC,H5MD w/ MDA,H5MD w/ pyh5md
Total loop means,0.0017581939697265624,0.014081907272338868,0.005067586898803711,0.03470625877380371,0.008501958847045899
Total loop stds,0.0006177525701705761,0.00010771174075531676,0.00017040835138532628,0.0018263538475100515,3.578102918119076e-05
Loop/frame means,0.0005860646565755209,0.004693969090779623,0.0016891956329345703,0.011568752924601236,0.002833986282348633
Loop/frame stds,0.00020591752339019199,3.590391358510557e-05,5.680278379510878e-05,0.0006087846158366836,1.1927009727063498e-05
Total IO means,0.0012958526611328125,0.013708782196044923,0.004685878753662109,0.0339411735534668,0.008103704452514649
Total IO stds,0.000570506704100203,9.827605732891776e-05,0.00013609094558638356,0.0017865966919993097,3.584045876477479e-05
IO/frame means,0.0004319508870442709,0.004569594065348307,0.0015619595845540366,0.011313724517822265,0.0027012348175048826
IO/frame stds,0.00019016890136673432,3.27586857763061e-05,4.536364852879454e-05,0.0005955322306664364,1.1946819588258267e-05
Total RMSD means,0.00044951438903808596,0.0003627300262451172,0.00036745071411132814,0.0005037784576416016,0.0003906726837158203
Total RMSD stds,4.676958279608134e-05,9.13563250728666e-06,2.7297584217464702e-05,1.4734191030158322e-05,3.890243159174183e-06
RMSD/frame means,0.00014983812967936199,0.0001209100087483724,0.0001224835713704427,0.0001679261525472005,0.00013022422790527345
RMSD/frame stds,1.558986093202711e-05,3.0452108357622175e-06,9.099194739154903e-06,4.911397010052774e-06,1.2967477197247354e-06
